sample_id,m1_latency,m2_latency,m3_latency,m1_total_input_token,m2_total_input_token,m3_total_input_token,m1_total_output_token,m2_total_output_token,m3_total_output_token,m1_k,m2_k,m3_k,m1_judge_score,m2_judge_score,m3_judge_score
0,2225.9044647216797,2630.9709548950195,4669.811964035034,187,787,949,18,32,63,3,10,10,1.0,1.0,1.0
1,1033.3759784698486,2214.670181274414,4378.1256675720215,406,238,396,15,30,60,3,1,1,1.0,1.0,1.0
2,1824.1753578186035,1750.4336833953857,4010.873556137085,256,847,1005,44,27,57,3,8,8,0.17,1.0,1.0
3,2456.235408782959,1999.267339706421,5175.770044326782,258,133,847,54,43,157,3,1,10,0.93,0.9,1.0
4,1259.629249572754,2785.0191593170166,3632.1120262145996,250,169,337,20,27,43,3,1,1,1.0,1.0,1.0
5,1119.321346282959,2047.4214553833008,4258.363962173462,414,890,1052,21,32,64,3,8,8,1.0,1.0,1.0
6,1272.0904350280762,2166.1605834960938,4522.350549697876,164,113,396,21,43,81,3,1,4,1.0,1.0,1.0
7,1649.98197555542,2603.914499282837,4520.354986190796,358,563,629,38,52,94,3,5,4,1.0,0.8,0.97
8,1246.2971210479736,2439.3904209136963,4033.3259105682373,212,138,310,25,38,72,3,1,1,0.97,0.9,0.98
9,1890.7032012939453,2241.9309616088867,3977.701187133789,261,669,404,58,33,70,3,8,2,1.0,0.93,0.97
10,1077.500820159912,2111.7539405822754,4250.925779342651,259,776,946,19,34,89,3,10,10,1.0,1.0,1.0
11,1220.085620880127,2408.7865352630615,4392.266273498535,280,147,303,22,44,88,3,1,1,1.0,1.0,1.0
12,992.8383827209473,2520.617723464966,4581.341981887817,189,788,940,10,54,79,3,10,10,1.0,1.0,1.0
13,1078.8993835449219,2359.056234359741,5034.543037414551,228,435,479,23,52,115,3,6,4,1.0,1.0,1.0
14,1237.8082275390625,2390.0082111358643,3961.0202312469482,278,222,671,21,44,77,3,2,6,1.0,1.0,1.0
15,894.7265148162842,2004.1041374206543,3269.031286239624,170,108,488,11,29,41,3,1,6,1.0,0.17,1.0
16,1280.2221775054932,2260.936975479126,4046.5028285980225,210,669,899,22,44,74,3,9,10,1.0,1.0,1.0
17,1198.892593383789,1908.5242748260498,3945.256233215332,176,363,556,18,26,54,3,6,7,0.33,1.0,1.0
18,1421.5483665466309,3580.4076194763184,6720.124959945679,267,841,1011,52,117,196,3,8,8,0.97,1.0,0.97
19,1172.5974082946777,3205.9152126312256,5881.38484954834,209,746,912,21,73,112,3,10,10,1.0,1.0,1.0
20,1394.6945667266846,3106.7192554473877,5217.918395996094,194,823,975,28,57,124,3,8,8,1.0,1.0,1.0
21,1501.1723041534424,2287.867546081543,4257.349014282227,278,666,832,30,55,100,3,10,10,0.17,0.17,0.17
22,1297.3153591156006,2706.462621688843,4539.721965789795,175,573,737,24,49,88,3,10,10,0.07,1.0,1.0
23,1602.3154258728027,2186.671018600464,4588.378429412842,181,537,699,38,43,91,3,9,9,0.9,1.0,1.0
24,2045.3097820281982,2560.330629348755,4296.1061000823975,205,649,811,36,60,103,3,10,10,1.0,1.0,1.0
25,1218.9209461212158,1928.0593395233154,4188.707113265991,176,126,457,20,40,80,3,1,4,1.0,1.0,1.0
26,2555.7289123535156,5428.773403167725,7557.464122772217,359,888,1058,96,199,227,3,10,10,0.97,1.0,0.97
27,1304.6965599060059,2978.9302349090576,5492.676019668579,329,836,1004,19,51,88,3,8,8,1.0,1.0,1.0
28,1342.3449993133545,3013.593912124634,5312.856674194336,268,767,923,32,63,103,3,9,9,0.97,0.97,1.0
29,1293.6522960662842,2549.0918159484863,5193.1586265563965,183,651,643,30,55,103,3,9,7,1.0,1.0,1.0
30,1038.062572479248,2475.6643772125244,4797.600746154785,220,638,798,17,43,86,3,9,9,1.0,1.0,1.0
31,1198.5788345336914,2323.93217086792,4888.585805892944,182,751,917,28,48,91,3,10,10,0.17,1.0,1.0
32,1168.5917377471924,2969.9947834014893,5218.4154987335205,293,604,612,19,35,68,3,7,5,1.0,1.0,1.0
