sample_id,query,difficulty,entropy,entropy_std,n_iterations,num_tokens
1,python là gì?,dễ,0.0007147453794177515,0.0,1,5
2,git là gì?,dễ,0.051885075116561666,0.0,1,5
3,ai là gì?,dễ,0.07739281116820308,0.0,1,5
4,machine learning là gì?,dễ,0.10294007597565133,0.0,1,5
5,deep learning là gì?,dễ,0.22757150833252995,0.0,1,5
6,neural network là gì?,dễ,0.09727670142456415,0.0,1,5
7,gan là gì?,dễ,0.018240053204386094,0.0,1,5
8,transformer là gì?,dễ,0.11682655861638865,0.0,1,5
9,cơ sở dữ liệu là gì?,dễ,7.11536589186807e-06,0.0,1,5
10,thuật toán là gì?,dễ,0.001033492646071165,0.0,1,5
11,java là gì?,dễ,0.00018220776811736595,0.0,1,5
12,javascript là gì?,dễ,0.006805771919224208,0.0,1,5
13,html là gì?,dễ,0.031048873612506123,0.0,1,5
14,css là gì?,dễ,0.010416684194244538,0.0,1,5
15,sql là gì?,dễ,0.00596613166866397,0.0,1,5
16,api là gì?,dễ,0.10753471468958116,0.0,1,5
17,json là gì?,dễ,0.0023809535817943383,0.0,1,5
18,xml là gì?,dễ,0.034587261531275185,0.0,1,5
19,http là gì?,dễ,0.24313093728558616,0.0,1,5
20,https là gì?,dễ,0.17318049191258048,0.0,1,5
21,tcp là gì?,dễ,0.020858838623443822,0.0,1,5
22,ip là gì?,dễ,0.12888174323921003,0.0,1,5
23,dns là gì?,dễ,0.06238237263768209,0.0,1,5
24,cloud là gì?,dễ,0.30266720501881483,0.0,1,5
25,docker là gì?,dễ,0.001836905019035659,0.0,1,5
26,kubernetes là gì?,dễ,0.046666952974425455,0.0,1,5
27,linux là gì?,dễ,0.0006036540021066226,0.0,1,5
28,windows là gì?,dễ,0.01587539268408664,0.0,1,5
29,macos là gì?,dễ,0.001474424784889236,0.0,1,5
30,ios là gì?,dễ,0.0005030813672377075,0.0,1,5
31,android là gì?,dễ,0.02891479799745549,0.0,1,5
32,html5 là gì?,dễ,0.00019827358219360783,0.0,1,5
33,css3 là gì?,dễ,0.0026964931777451765,0.0,1,5
34,react là gì?,dễ,0.00408749862179534,0.0,1,5
35,so sánh machine learning và deep learning,trung_bình,0.07268800980246658,0.0,1,5
36,khác biệt giữa cnn và rnn,trung_bình,0.15452899328840106,0.0,1,5
37,khi nào nên dùng reinforcement learning,trung_bình,0.35854854255378854,0.0,1,5
38,ưu nhược điểm của transformer architecture,trung_bình,0.24190226240979723,0.0,1,5
39,cách hoạt động của attention mechanism,trung_bình,0.24749987392686013,0.0,1,5
40,gradient descent hoạt động như thế nào,trung_bình,0.03527237556206857,0.0,1,5
41,overfitting là gì và cách khắc phục,trung_bình,0.04687863870551737,0.0,1,5
42,khác biệt giữa supervised và unsupervised learning,trung_bình,0.08550099614616247,0.0,1,5
43,backpropagation hoạt động như thế nào,trung_bình,0.07994206390022104,0.0,1,5
44,activation function trong neural network là gì,trung_bình,0.2711800512950483,0.0,1,5
45,khác biệt giữa classification và regression,trung_bình,0.10932105086293269,0.0,1,5
46,giải thích cross-validation,trung_bình,0.020478166777350242,0.0,1,5
47,regularization trong machine learning là gì,trung_bình,0.02253302958017515,0.0,1,5
48,khác biệt giữa batch và stochastic gradient descent,trung_bình,0.17252933641467252,0.0,1,5
49,dropout hoạt động như thế nào,trung_bình,0.0045247647940814175,0.0,1,5
50,giải thích batch normalization,trung_bình,0.11287381035942938,0.0,1,5
51,transfer learning là gì,trung_bình,0.2452243190983104,0.0,1,5
52,khác biệt giữa rnn và lstm,trung_bình,0.07420390829239705,0.0,1,5
53,convolutional layer hoạt động như thế nào,trung_bình,0.3401718864785859,0.0,1,5
54,giải thích pooling trong cnn,trung_bình,0.060629855399511566,0.0,1,5
55,data augmentation là gì,trung_bình,0.23292797598474263,0.0,1,5
56,khác biệt giữa precision và recall,trung_bình,0.055476723294985285,0.0,1,5
57,giải thích f1 score,trung_bình,0.07733569067555184,0.0,1,5
58,confusion matrix là gì,trung_bình,0.21685916250614587,0.0,1,5
59,k-means clustering hoạt động như thế nào,trung_bình,0.09334928180637633,0.0,1,5
60,khác biệt giữa random forest và gradient boosting,trung_bình,0.07959597976048016,0.0,1,5
61,giải thích feature selection,trung_bình,0.20299805883673297,0.0,1,5
62,dimensionality reduction là gì,trung_bình,0.0901815813401933,0.0,1,5
63,khác biệt giữa svm và logistic regression,trung_bình,0.11362486771192208,0.0,1,5
