sample_id,query,difficulty,entropy,entropy_std,k_determined,n_iterations
1,python là gì?,dễ,0.23431410040162567,0.0,0,5
2,git là gì?,dễ,0.24552745114558086,0.0,0,5
3,ai là gì?,dễ,0.24073456855562864,0.0,0,5
4,machine learning là gì?,dễ,0.22385647438044395,0.0,0,5
5,deep learning là gì?,dễ,0.27199402140565043,0.0,0,5
6,neural network là gì?,dễ,0.26921810152751513,0.0,0,5
7,gan là gì?,dễ,0.2884563156152035,0.0,0,5
8,transformer là gì?,dễ,0.26994898422504526,0.0,0,5
9,cơ sở dữ liệu là gì?,dễ,0.25067726027860154,0.0,0,5
10,thuật toán là gì?,dễ,0.24429123409237435,0.0,0,5
11,java là gì?,dễ,0.26217506535374824,0.0,0,5
12,javascript là gì?,dễ,0.3460839778002772,0.0,0,5
13,html là gì?,dễ,0.22028692305953385,0.0,0,5
14,css là gì?,dễ,0.3209794284752965,0.0,0,5
15,sql là gì?,dễ,0.20753151134409903,0.0,0,5
16,api là gì?,dễ,0.2420053596930405,0.0,0,5
17,json là gì?,dễ,0.23284700606591446,0.0,0,5
18,xml là gì?,dễ,0.2366065521119037,0.0,0,5
19,http là gì?,dễ,0.23036144655889612,0.0,0,5
20,https là gì?,dễ,0.24928567935236606,0.0,0,5
21,tcp là gì?,dễ,0.29424140631021556,0.0,0,5
22,ip là gì?,dễ,0.36050273368006636,0.0,0,5
23,dns là gì?,dễ,0.2891290580257378,0.0,0,5
24,cloud là gì?,dễ,0.2737730544707801,0.0,0,5
25,docker là gì?,dễ,0.2859802765712745,0.0,0,5
26,kubernetes là gì?,dễ,0.2408340959082516,0.0,0,5
27,linux là gì?,dễ,0.2540656016396177,0.0,0,5
28,windows là gì?,dễ,0.2223534860092907,0.0,0,5
29,macos là gì?,dễ,0.3007645369554705,0.0,0,5
30,ios là gì?,dễ,0.2155916558852406,0.0,0,5
31,android là gì?,dễ,0.18670340203588556,0.0,0,5
32,html5 là gì?,dễ,0.19659057905616556,0.0,0,5
33,css3 là gì?,dễ,0.32706443838251187,0.0,0,5
34,react là gì?,dễ,0.18559184361104192,0.0,0,5
35,so sánh machine learning và deep learning,trung_bình,0.22021529004553647,0.0,0,5
36,khác biệt giữa cnn và rnn,trung_bình,0.2390340028440428,0.0,0,5
37,khi nào nên dùng reinforcement learning,trung_bình,0.36276415386662303,0.0,0,5
38,ưu nhược điểm của transformer architecture,trung_bình,0.2927527481576087,0.0,0,5
39,cách hoạt động của attention mechanism,trung_bình,0.2802039553697275,0.0,0,5
40,gradient descent hoạt động như thế nào,trung_bình,0.2690323127090286,0.0,0,5
41,overfitting là gì và cách khắc phục,trung_bình,0.26501095881711556,0.0,0,5
42,khác biệt giữa supervised và unsupervised learning,trung_bình,0.20908935082028335,0.0,0,5
43,backpropagation hoạt động như thế nào,trung_bình,0.3263192226942617,0.0,0,5
44,activation function trong neural network là gì,trung_bình,0.29943510330045425,0.0,0,5
45,khác biệt giữa classification và regression,trung_bình,0.3107557642963953,0.0,0,5
