sample_id,query,difficulty,entropy,k_determined
1,python là gì?,dễ,0.24875663698428346,0
2,git là gì?,dễ,0.28638635562711284,0
3,ai là gì?,dễ,0.2216875618310411,0
4,machine learning là gì?,dễ,0.33730061991890303,0
5,deep learning là gì?,dễ,0.3150775232491153,0
6,neural network là gì?,dễ,0.19786003751560585,0
7,gan là gì?,dễ,0.28532855052671857,0
8,transformer là gì?,dễ,0.19838874725305355,0
9,cơ sở dữ liệu là gì?,dễ,0.18560891903610488,0
10,thuật toán là gì?,dễ,0.25246734652484,0
11,java là gì?,dễ,0.25586278592752426,0
12,javascript là gì?,dễ,0.3640916756510099,0
13,html là gì?,dễ,0.22446866695450843,0
14,css là gì?,dễ,0.2768570193189089,0
15,sql là gì?,dễ,0.18217165000107813,0
16,api là gì?,dễ,0.2570580259341909,0
17,json là gì?,dễ,0.25636002418956405,0
18,xml là gì?,dễ,0.15844128807585156,0
19,http là gì?,dễ,0.24736621144046791,0
20,https là gì?,dễ,0.2437570290241282,0
21,tcp là gì?,dễ,0.34867639343307916,0
22,ip là gì?,dễ,0.39004650038680033,0
23,dns là gì?,dễ,0.23983418839358497,0
24,cloud là gì?,dễ,0.269519653397013,0
25,docker là gì?,dễ,0.28295195325857375,0
26,kubernetes là gì?,dễ,0.3262771448746555,0
27,linux là gì?,dễ,0.20944776452916428,0
28,windows là gì?,dễ,0.18162238013445103,0
29,macos là gì?,dễ,0.2678495227476412,0
30,ios là gì?,dễ,0.2509480544131886,0
31,android là gì?,dễ,0.16178568802998014,0
32,html5 là gì?,dễ,0.23070265451737212,0
33,css3 là gì?,dễ,0.4140876859383757,0
34,react là gì?,dễ,0.21373141047020386,0
35,so sánh machine learning và deep learning,trung_bình,0.18326413670940378,0
36,khác biệt giữa cnn và rnn,trung_bình,0.26676144307375604,0
37,khi nào nên dùng reinforcement learning,trung_bình,0.3338032282887696,0
38,ưu nhược điểm của transformer architecture,trung_bình,0.3584996475602764,0
39,cách hoạt động của attention mechanism,trung_bình,0.23273653127597377,0
40,gradient descent hoạt động như thế nào,trung_bình,0.2515434819885402,0
41,overfitting là gì và cách khắc phục,trung_bình,0.3177001839268123,0
42,khác biệt giữa supervised và unsupervised learning,trung_bình,0.21405967260714787,0
43,backpropagation hoạt động như thế nào,trung_bình,0.3367798357347964,0
44,activation function trong neural network là gì,trung_bình,0.22468021094746013,0
45,khác biệt giữa classification và regression,trung_bình,0.3602273795287736,0
46,giải thích cross-validation,trung_bình,0.26786617906694654,0
47,regularization trong machine learning là gì,trung_bình,0.22405203035116888,0
48,khác biệt giữa batch và stochastic gradient descent,trung_bình,0.23476007809977945,0
